city,state,year_created,member_selection,independent_investigation,subpoena_power,independent_discipline,recommend_discipline,funding_structure,public_meetings,city_std,state_clean,has_sunset,voluntary_cooperation,mandatory_cooperation,has_budget_language,has_union_exclusion,text_length,filename,authority_level,board_weakness_index,board_weakness_index_broad,authority_score,year_num,decade
Omaha city,NB,2014,Appointed (Mayor),N,N,Y,Y,Not specified,Y,omaha,NB,False,False,True,False,True,5435.0,Omaha_city_NB.pdf,disciplinary,1,-1,2,2014.0,2010
Orlando city,FL,1992,Appointed,N,N,N,Y,Not specified,Not specified,orlando,FL,False,False,True,False,False,4324.0,Orlando_city_FL.pdf,review_only,0,-2,0,1992.0,1990
Overland Park city,KS,2017(?),Not specified,N,N,N,Y (advisory capacity),Not specified,Y,overland park,KS,False,False,False,False,False,2776.0,Overland_Park_city_KS.pdf,review_only,0,-1,0,2017.0,2010
Oxnard city,CA,2010,Elected,N,N,N,Y,Not specified,Y (implied),oxnard,CA,False,False,False,False,False,1158.0,Oxnard_city_CA.pdf,review_only,0,-1,0,2010.0,2010
Pasadena city,CA,2020,"Appointed (Mayor, confirmed by Council)",N,N,N,Y,City-funded,Y (implied),pasadena,CA,False,False,False,False,False,3092.0,Pasadena_city_CA.pdf,review_only,0,-1,0,2020.0,2020
Philadelphia city,PA,1993,Appointed,Y,Y,N,Y,City-funded,Y,philadelphia,PA,False,False,False,False,False,3152.0,Philadelphia_city_PA.pdf,investigative,0,-1,1,1993.0,1990
Pittsburgh city,PA,1996,Elected,Y,Y,N,Y,Not specified,Y,pittsburgh,PA,False,False,False,False,False,1665.0,Pittsburgh_city_PA.pdf,investigative,0,-1,1,1996.0,1990
Pomona city,CA,2023,Appointed (Council),Y,N,N,Y,Not specified,Y (implied),pomona,CA,False,False,False,False,False,2127.0,Pomona_city_CA.pdf,investigative,0,-1,1,2023.0,2020
Portland city,OR,2010,Not specified,N,N,N,Y,Not specified,Y,portland,OR,False,False,False,False,True,20488.0,Portland_city_OR_2.pdf,review_only,1,0,0,2010.0,2010
Providence city,RI,2002,"Appointed (Mayor, confirmed by Council)",Y,Y,Y,Y,City-funded,Y (implied),providence,RI,False,False,False,False,False,3130.0,Providence_city_RI.pdf,disciplinary,0,-1,2,2002.0,2000
Provo city,UT,2015,Appointed,N,Y,N,Y (advisory capacity),City-funded,Y (implied),provo,UT,True,True,True,True,False,164929.0,Provo_city_UT.pdf,review_only,2,0,0,2015.0,2010
Raleigh city,NC,2020,Not specified,Not specified,N,N,Y (advisory capacity),Not specified,Y,raleigh,NC,False,False,False,True,False,24750.0,Raleigh_city_NC.pdf,review_only,0,-1,0,2020.0,2020
Richmond city,CA,1984,Appointed,Y,N,N,Y,City-funded,Not specified,richmond,CA,False,False,False,False,False,0.0,Richmond_city_CA.pdf,investigative,0,-1,1,1984.0,1980
Richmond city,VA,2022,Not specified,N,N,N,Y,Not specified,Not specified,richmond,VA,False,False,False,False,False,909.0,Richmond_city_VA.pdf,review_only,0,-1,0,2022.0,2020
Riverside city,CA,2018,Not specified,Y,Y,N,Y,Not specified,Not specified,riverside,CA,False,False,False,False,False,0.0,Riverside_city_CA_2.pdf,investigative,0,-1,1,2018.0,2010
Rochester city,MN,2024,"Appointed (Mayor, confirmed by Council)",N,N,N,Y,Not specified,Y,rochester,MN,False,False,False,False,False,2832.0,Rochester_city_MN.pdf,review_only,0,-1,0,2024.0,2020
Rochester city,NY,2019,Elected,Y,N,Y,Y,City-funded,Y (implied),rochester,NY,False,False,False,True,True,6842.0,Rochester_city_NY.pdf,disciplinary,1,0,2,2019.0,2010
