ORI,City #,Name,State,Population,STATE_ABB,oversight-board (y/n),oversight-powers ,oversight-charter-found (y/n),Link,Year created,Independently Investigate (y/n) ,Independently Discipline Officers (y/n),Created Via Election,Selection Method of Board Members 
,29,Louisville/Jefferson County metro government (balance),Kentucky,629176,KY,Y,"the powers and duties of the Civilian Review and Accountability Board are as follows:   (A)   Following an oral presentation by the Inspector General of any complaint for which the Inspector General has completed an initial screening under LMCO § 36.83, the Board shall determine by simple majority vote whether to require the Inspector General to investigate that complaint;   (B)   Review the final reports of any investigations completed by the Inspector General;   (C)   Review closed internal police investigations into police shooting cases and incidents involving loss of life due to police action; and   (D)   Advise the Mayor, Metro Council, and the Chief of Police on matters relating to the quality and adequacy of internal police investigations, or investigations by the Inspector General, and recommend changes in policy, training, procedures, and staff as a result of its reviews.- review final reports and closed police investigations
- advise the Mayor, Metro Council, and the Chief of Police on matters relating to the quality and adequacy of internal
police investigations, or investigations by the Inspector General, and recommend changes in policy, training, procedures,
and staff as a result of its reviews",Y,https://louisvilleky.gov/government/office-inspector-general/civilian-review-and-accountability-board https://louisvilleky.gov/office-inspector-general/document/establishing-ordinance,2003,N,N,,
,30,Baltimore city,Maryland,584548,MD,Y,"The Civilian Review Board (CRB) takes complaints that allege the use of excessive force, abusive language, harassment, false arrest, and false imprisonment. And the CRB has the authority to investigate complaints and issue subpoenas. The Civilian Review Board also reviews police department procedures and makes recommendations to Baltimore’s Police Commissioner.",Y,https://www.aacounty.org/boards-and-commissions/police-accountability-board/,1999,Y,N,,
,31,Milwaukee city,Wisconsin,573299,WI,Y,"- independently investigate and discipline department employees up to and including termination from employment for acts of misconduct
- conduct an investigation of every plausible complaint received",Y,https://city.milwaukee.gov/fpc/About,1911,Y,Y,,
,32,Albuquerque city,New Mexico,562551,NM,Y,"- investigate all civilian complaints relating to police conduct, monitor and report on police internal affairs matters",Y,https://www.cabq.gov/cpoa https://codelibrary.amlegal.com/codes/albuquerque/latest/albuquerque_nm/0-0-0-121457,2014,Y,N,,
,33,Fresno city,California,541528,CA,Y,"- audit investigations condcuted by Internal Affairs and personal investigations
- monitor and audit officer-involved shooting investigations, use of force investigations, in-custody deaths, collisions during pursuits that result in serious injury or death, and complaints involving alleged bias relating to gender, race ethncity, religion, age, sexual orientation or disability",Y,https://www.fresno.gov/citymanager/office-of-independent-review/,2017,N,N,,
,34,Tucson city,Arizona,541033,,,,,,,,,,
,35,Sacramento city,California,523600,CA,Y,"- Review policy recommendations made by outside entities
- subpoena power in accordance with Sections 1987 and 1988 of the Code of Civil Procedure
- advisory capacity to the Office of Inspector General and Board of Supervisors",Y,https://sccob.saccounty.gov/Pages/CommunityReviewCommission.aspx,2021,,,,
,36,Kansascity,Missouri,505958,MO,Y,"- adopt rules and regulations 
- review disciplinary cases",Y,https://www.kcpd.org/about/board-of-police-commissioners/members/,1939,Y,,,
,37,Mesa city,Arizona,503390,AZ,Y,"- Receive citizen complaints of police misconduct directly and deliver them to the Chief of Police and the CPOB
- Automatically review and assess for objectivity, thoroughness, and appropriateness the investigations and dispositions of incidents of use of
force involving the following: accidental discharge of weapons, officer-involved shootings, officer-involved deaths, or officer-involved interactions
resulting in serious bodily injury
- Make recommendations to the CPOB and Chief of Police regarding further investigation, processes, and dispositions
- Meet with the City Manager, Chief of Police, and City Council upon request, but at least annually, to discuss the Independent Police Auditor's
observations, concerns, and recommendations;",Y,https://www.cityoflamesa.us/1644/Community-Police-Oversight-Board,2020,,,,
,38,Atlanta city,Georgia,494838,GA,Y,"- advise the mayor, the president of city council, city council members and the chief of police and the chief of corrections [only got subpoena powers in 2010]
- conduct investigations and hold public hearings
- initiate studies upon request to the board by any member of the public or the police department and the department of corrections, or at the board's own discretion
- interview relevant police department and department of corrections personnel and to obtain copies of and to review and examine relevant documents
- subpoena power by majority vote
- recommend that the chief of police and the chief of corrections take certain actions",Y,https://acrbgov.org/,2007,Y,N,,
,39,Omaha city,Nebraska,489201,NB,Y,"- review the investigative process and the results of a citizen complaint when so requested by the citizen
- review annual aggregate data
- render findings and recommendations regarding every reqiest for review to the Mayor",Y,https://police.cityofomaha.org/citizen-complaints,2014,N,,,
,40,Colorado Springs city,Colorado,479612,CO,Y,- make [policy] recommendations,Y,https://coloradosprings.gov/letac,2020,N,N,,
,41,Raleigh city,North Carolina,465517,NC,Y,"- advisory board
- reviewing existing Raleigh Police Department procedures",N,https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR30/PoliceAdvisoryBoardAnalysis.pdf,2020,,,,
