geoName	geoCode	term	interest
Palm Springs CA	804	police killings	48
Panama City FL	656	police killings	50
Parkersburg WV	597	police killings	0
Peoria-Bloomington IL	675	police killings	64
Philadelphia PA	504	police killings	56
Phoenix AZ	753	police killings	52
Pittsburgh PA	508	police killings	53
Portland OR	820	police killings	65
Portland-Auburn ME	500	police killings	64
Presque Isle ME	552	police killings	0
Providence RI-New Bedford MA	521	police killings	54
Quincy IL-Hannibal MO-Keokuk IA	717	police killings	0
Raleigh-Durham (Fayetteville) NC	560	police killings	62
Rapid City SD	764	police killings	56
Reno NV	811	police killings	66
Richmond-Petersburg VA	556	police killings	76
Roanoke-Lynchburg VA	573	police killings	35
Rochester MN-Mason City IA-Austin MN	611	police killings	33
Rochester NY	538	police killings	54
Rockford IL	610	police killings	62
Sacramento-Stockton-Modesto CA	862	police killings	56
Salisbury MD	576	police killings	64
Salt Lake City UT	770	police killings	56
San Angelo TX	661	police killings	0
San Antonio TX	641	police killings	38
San Diego CA	825	police killings	58
San Francisco-Oakland-San Jose CA	807	police killings	58
Santa Barbara-Santa Maria-San Luis Obispo CA	855	police killings	62
Savannah GA	507	police killings	56
Seattle-Tacoma WA	819	police killings	72
Sherman TX-Ada OK	657	police killings	41
Shreveport LA	612	police killings	73
Sioux City IA	624	police killings	31
Sioux Falls(Mitchell) SD	725	police killings	31
South Bend-Elkhart IN	588	police killings	52
Spokane WA	881	police killings	65
Springfield MO	619	police killings	46
Springfield-Holyoke MA	543	police killings	70
St. Joseph MO	638	police killings	0
St. Louis MO	609	police killings	64
Syracuse NY	555	police killings	69
Tallahassee FL-Thomasville GA	530	police killings	77
Tampa-St. Petersburg (Sarasota) FL	539	police killings	44
Terre Haute IN	581	police killings	0
Toledo OH	547	police killings	50
Topeka KS	605	police killings	69
Traverse City-Cadillac MI	540	police killings	44
Tri-Cities TN-VA	531	police killings	34
Tucson (Sierra Vista) AZ	789	police killings	62
Tulsa OK	671	police killings	59
Twin Falls ID	760	police killings	0
Tyler-Longview(Lufkin & Nacogdoches) TX	709	police killings	44
Utica NY	526	police killings	63
Victoria TX	626	police killings	0
Waco-Temple-Bryan TX	625	police killings	43
Washington DC (Hagerstown MD)	511	police killings	60
Watertown NY	549	police killings	51
Wausau-Rhinelander WI	705	police killings	28
West Palm Beach-Ft. Pierce FL	548	police killings	47
Wheeling WV-Steubenville OH	554	police killings	42
Wichita Falls TX & Lawton OK	627	police killings	66
Wichita-Hutchinson KS	678	police killings	44
Wilkes Barre-Scranton PA	577	police killings	41
Wilmington NC	550	police killings	61
Yakima-Pasco-Richland-Kennewick WA	810	police killings	53
Youngstown OH	536	police killings	32
Yuma AZ-El Centro CA	771	police killings	39
Zanesville OH	596	police killings	0
