cbsa_code	msa_name	year	n_protests	n_police_protests	total_size_est	police_size_est	any_arrests	any_property_damage	avg_protest_size
12020	Athens-Clarke County, GA	2017	9	0	3970.0	0.0	0.0	000000000	441.1111111111111
12020	Athens-Clarke County, GA	2018	26	3	6278.0	350.0	0.0	00000000000000000000000000	241.46153846153845
12020	Athens-Clarke County, GA	2019	15	3	670.0	100.0	0.0	000000000000000	44.666666666666664
12020	Athens-Clarke County, GA	2020	68	52	2903.0	2445.0	1.0	00000000000000000000000000000000000000100000000000000000000000000000	42.69117647058823
12020	Athens-Clarke County, GA	2021	83	58	889.0	124.0	0.0	0.0	10.710843373493976
12020	Athens-Clarke County, GA	2022	80	54	1317.0	34.0	0.0	0.0	16.4625
12020	Athens-Clarke County, GA	2023	73	57	457.0	324.0	1.0	0.0	6.260273972602739
12020	Athens-Clarke County, GA	2024	86	58	719.0	124.0	1.0	0.0	8.36046511627907
12060	Atlanta-Sandy Springs-Alpharetta, GA	2017	78	4	88368.0	175.0	3.0	000000000000000000000000000000000000000000000000000010000000000000000000000000	1132.923076923077
12060	Atlanta-Sandy Springs-Alpharetta, GA	2018	244	13	76960.0	3694.0	4.0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	315.40983606557376
12060	Atlanta-Sandy Springs-Alpharetta, GA	2019	77	9	8073.0	1194.0	5.0	00000000000000000000000000000000000000000000000000000000000000000000000000000	104.84415584415585
12060	Atlanta-Sandy Springs-Alpharetta, GA	2020	264	105	35722.0	16710.0	9.0	000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000001001000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	135.31060606060606
12060	Atlanta-Sandy Springs-Alpharetta, GA	2021	374	133	9933.0	561.0	6.0	1.0	26.558823529411764
12060	Atlanta-Sandy Springs-Alpharetta, GA	2022	643	437	21847.0	8296.0	8.0	4.0	33.976671850699844
12060	Atlanta-Sandy Springs-Alpharetta, GA	2023	450	250	27031.0	12470.0	12.0	16.0	60.068888888888885
12060	Atlanta-Sandy Springs-Alpharetta, GA	2024	365	204	97692.0	4711.0	8.0	8.0	267.64931506849314
12100	Atlantic City-Hammonton, NJ	2017	8	0	484.0	0.0	0.0	00000000	60.5
12100	Atlantic City-Hammonton, NJ	2018	12	1	1531.0	24.0	0.0	000000000000	127.58333333333333
12100	Atlantic City-Hammonton, NJ	2019	13	2	1024.0	600.0	0.0	0000000000000	78.76923076923077
12100	Atlantic City-Hammonton, NJ	2020	15	7	1308.0	472.0	2.0	000100000000000	87.2
12100	Atlantic City-Hammonton, NJ	2021	12	3	515.0	45.0	0.0	0.0	42.916666666666664
12100	Atlantic City-Hammonton, NJ	2022	16	3	1974.0	204.0	0.0	0.0	123.375
12100	Atlantic City-Hammonton, NJ	2023	12	1	226.0	0.0	0.0	0.0	18.833333333333332
12100	Atlantic City-Hammonton, NJ	2024	12	0	249.0	0.0	0.0	0.0	20.75
12220	Auburn-Opelika, AL	2017	4	0	445.0	0.0	1.0	0000	111.25
12220	Auburn-Opelika, AL	2018	4	1	315.0	300.0	0.0	0000	78.75
12220	Auburn-Opelika, AL	2019	2	0	0.0	0.0	0.0	00	0.0
12220	Auburn-Opelika, AL	2020	9	6	1074.0	950.0	0.0	000000000	119.33333333333333
12220	Auburn-Opelika, AL	2021	7	0	525.0	0.0	0.0	0.0	75.0
12220	Auburn-Opelika, AL	2022	7	0	350.0	0.0	0.0	0.0	50.0
12220	Auburn-Opelika, AL	2023	5	0	52.0	0.0	0.0	0.0	10.4
12220	Auburn-Opelika, AL	2024	11	2	30.0	24.0	0.0	0.0	2.727272727272727
12260	Augusta-Richmond County, GA-SC	2017	33	0	853.0	0.0	0.0	000000000000000000000000000000000	25.848484848484848
12260	Augusta-Richmond County, GA-SC	2018	43	0	796.0	0.0	0.0	0000000000000000000000000000000000000000000	18.511627906976745
12260	Augusta-Richmond County, GA-SC	2019	27	1	558.0	0.0	0.0	000000000000000000000000000	20.666666666666668
12260	Augusta-Richmond County, GA-SC	2020	76	21	2272.0	1338.0	0.0	0000000000000000000000000000000000000000000000000000000000000000000000000000	29.894736842105264
12260	Augusta-Richmond County, GA-SC	2021	86	0	352.0	0.0	0.0	0.0	4.093023255813954
12260	Augusta-Richmond County, GA-SC	2022	55	5	2098.0	367.0	0.0	0.0	38.14545454545455
12260	Augusta-Richmond County, GA-SC	2023	39	0	14463.0	0.0	0.0	0.0	370.84615384615387
12260	Augusta-Richmond County, GA-SC	2024	37	2	76.0	0.0	0.0	0.0	2.054054054054054
12420	Austin-Round Rock-Georgetown, TX	2017	111	4	84983.0	261.0	9.0	000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	765.6126126126126
12420	Austin-Round Rock-Georgetown, TX	2018	129	5	76268.0	9535.0	6.0	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	591.2248062015503
12420	Austin-Round Rock-Georgetown, TX	2019	81	8	9532.0	1275.0	3.0	000000000000000000000000000000000000000000000000000000000000000000000000000000000	117.67901234567901
12420	Austin-Round Rock-Georgetown, TX	2020	134	77	19281.0	9177.0	15.0	00000000000000000001010111000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000	143.88805970149255
12420	Austin-Round Rock-Georgetown, TX	2021	178	28	12457.0	780.0	0.0	0.0	69.98314606741573
12420	Austin-Round Rock-Georgetown, TX	2022	189	15	25325.0	6497.0	4.0	1.0	133.994708994709
12420	Austin-Round Rock-Georgetown, TX	2023	334	58	45969.0	2642.0	2.0	0.0	137.6317365269461
12420	Austin-Round Rock-Georgetown, TX	2024	290	16	17746.0	11126.0	5.0	2.0	61.19310344827586
12540	Bakersfield, CA	2017	18	1	1709.0	12.0	0.0	000000000000000000	94.94444444444444
12540	Bakersfield, CA	2018	37	1	6091.0	1000.0	0.0	0000000000000000000000000000000000000	164.6216216216216
12540	Bakersfield, CA	2019	17	3	2510.0	2012.0	0.0	00000000000000000	147.64705882352942
12540	Bakersfield, CA	2020	62	31	4945.0	1618.0	8.0	00000000011000000000000000000000000010000000000000000000000000	79.75806451612904
12540	Bakersfield, CA	2021	50	4	1467.0	109.0	0.0	0.0	29.34
12540	Bakersfield, CA	2022	34	7	1323.0	160.0	0.0	0.0	38.911764705882355
12540	Bakersfield, CA	2023	81	5	4094.0	81.0	0.0	0.0	50.54320987654321
12540	Bakersfield, CA	2024	54	2	1780.0	25.0	1.0	1.0	32.96296296296296
12580	Baltimore-Columbia-Towson, MD	2017	115	54	13039.0	205.0	1.0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	113.38260869565218
12580	Baltimore-Columbia-Towson, MD	2018	225	57	33037.0	2035.0	4.0	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	146.8311111111111
12580	Baltimore-Columbia-Towson, MD	2019	135	61	18810.0	765.0	4.0	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	139.33333333333334
12580	Baltimore-Columbia-Towson, MD	2020	264	171	24448.0	19685.0	3.0	000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000	92.60606060606061
12580	Baltimore-Columbia-Towson, MD	2021	231	92	5765.0	933.0	0.0	0.0	24.956709956709958
12580	Baltimore-Columbia-Towson, MD	2022	467	96	78322.0	888.0	0.0	2.0	167.71306209850107
12580	Baltimore-Columbia-Towson, MD	2023	364	131	35494.0	1124.0	2.0	0.0	97.51098901098901
12580	Baltimore-Columbia-Towson, MD	2024	408	150	160092.0	3570.0	1.0	0.0	392.38235294117646
12620	Bangor, ME	2017	24	0	2135.0	0.0	2.0	000000000000000000000000	88.95833333333333
12620	Bangor, ME	2018	17	1	1557.0	221.0	0.0	00000000000000000	91.58823529411765
12620	Bangor, ME	2019	13	2	758.0	150.0	0.0	0000000000000	58.30769230769231
12620	Bangor, ME	2020	29	3	4677.0	400.0	1.0	00000000000000000000000000000	161.27586206896552
12620	Bangor, ME	2021	17	1	590.0	0.0	1.0	0.0	34.705882352941174
12620	Bangor, ME	2022	15	1	622.0	0.0	0.0	0.0	41.46666666666667
12620	Bangor, ME	2023	14	2	361.0	24.0	1.0	0.0	25.785714285714285
12620	Bangor, ME	2024	36	1	228.0	45.0	0.0	0.0	6.333333333333333
12700	Barnstable Town, MA	2017	13	1	1880.0	60.0	0.0	0000000000000	144.6153846153846
12700	Barnstable Town, MA	2018	45	17	3212.0	1524.0	0.0	000000000000000000000000000000000000000000000	71.37777777777778
12700	Barnstable Town, MA	2019	29	0	1057.0	0.0	0.0	00000000000000000000000000000	36.44827586206897
12700	Barnstable Town, MA	2020	34	16	2719.0	2285.0	0.0	0000000000000000000000000000000000	79.97058823529412
12700	Barnstable Town, MA	2021	18	1	351.0	100.0	0.0	0.0	19.5
12700	Barnstable Town, MA	2022	21	5	570.0	24.0	0.0	0.0	27.142857142857142
12700	Barnstable Town, MA	2023	35	3	280.0	100.0	0.0	0.0	8.0
12700	Barnstable Town, MA	2024	63	0	60.0	0.0	0.0	0.0	0.9523809523809523
12940	Baton Rouge, LA	2017	19	3	744.0	60.0	2.0	0000000000000000000	39.1578947368421
12940	Baton Rouge, LA	2018	21	2	854.0	375.0	4.0	000000000000000000000	40.666666666666664
12940	Baton Rouge, LA	2019	17	2	764.0	95.0	0.0	00000000000000000	44.94117647058823
12940	Baton Rouge, LA	2020	46	25	4153.0	2180.0	1.0	0000000000000000000000000000000000000000000000	90.28260869565217
12940	Baton Rouge, LA	2021	25	5	995.0	300.0	0.0	0.0	39.8
12940	Baton Rouge, LA	2022	29	5	1197.0	120.0	0.0	0.0	41.275862068965516
12940	Baton Rouge, LA	2023	31	4	1438.0	25.0	0.0	0.0	46.38709677419355
12940	Baton Rouge, LA	2024	30	1	827.0	0.0	0.0	0.0	27.566666666666666
12980	Battle Creek, MI	2017	4	0	140.0	0.0	0.0	0000	35.0
12980	Battle Creek, MI	2018	12	2	2042.0	331.0	0.0	000000000000	170.16666666666666
12980	Battle Creek, MI	2019	8	1	2162.0	100.0	0.0	00000000	270.25
12980	Battle Creek, MI	2020	9	6	666.0	642.0	0.0	000000000	74.0
12980	Battle Creek, MI	2021	84	1	879.0	50.0	0.0	0.0	10.464285714285714
12980	Battle Creek, MI	2022	3	1	2250.0	0.0	0.0	0.0	750.0
12980	Battle Creek, MI	2023	8	0	272.0	0.0	0.0	0.0	34.0
12980	Battle Creek, MI	2024	4	0	224.0	0.0	0.0	0.0	56.0
13020	Bay City, MI	2017	1	0	24.0	0.0	0.0	0	24.0
13020	Bay City, MI	2018	9	0	1094.0	0.0	0.0	000000000	121.55555555555556
13020	Bay City, MI	2019	2	0	21.0	0.0	0.0	00	10.5
13020	Bay City, MI	2020	4	4	225.0	225.0	0.0	0000	56.25
13020	Bay City, MI	2021	1	0	0.0	0.0	0.0	0.0	0.0
13020	Bay City, MI	2022	5	0	40.0	0.0	0.0	0.0	8.0
13020	Bay City, MI	2023	3	0	339.0	0.0	0.0	0.0	113.0
13020	Bay City, MI	2024	1	0	2.0	0.0	0.0	0.0	2.0
13140	Beaumont-Port Arthur, TX	2017	4	1	324.0	24.0	0.0	0000	81.0
13140	Beaumont-Port Arthur, TX	2018	8	0	3616.0	0.0	0.0	00000000	452.0
13140	Beaumont-Port Arthur, TX	2019	2	0	49.0	0.0	0.0	00	24.5
13140	Beaumont-Port Arthur, TX	2020	12	5	380.0	275.0	0.0	000000000000	31.666666666666668
13140	Beaumont-Port Arthur, TX	2021	8	1	252.0	50.0	0.0	0.0	31.5
13140	Beaumont-Port Arthur, TX	2022	16	0	198.0	0.0	0.0	0.0	12.375
13140	Beaumont-Port Arthur, TX	2023	13	1	177.0	2.0	0.0	0.0	13.615384615384615
13140	Beaumont-Port Arthur, TX	2024	3	1	0.0	0.0	0.0	0.0	0.0
13220	Beckley, WV	2017	7	0	35062.0	0.0	0.0	0000000	5008.857142857143
13220	Beckley, WV	2018	10	0	189.0	0.0	1.0	0000000000	18.9
13220	Beckley, WV	2019	3	0	173.0	0.0	0.0	000	57.666666666666664
13220	Beckley, WV	2020	8	4	90.0	90.0	0.0	00000000	11.25
13220	Beckley, WV	2021	7	1	45.0	30.0	0.0	0.0	6.428571428571429
13220	Beckley, WV	2022	2	0	0.0	0.0	0.0	0.0	0.0
13220	Beckley, WV	2023	8	3	430.0	200.0	0.0	0.0	53.75
13220	Beckley, WV	2024	2	0	12.0	0.0	0.0	0.0	6.0
13380	Bellingham, WA	2017	56	1	8450.0	100.0	0.0	00000000000000000000000000000000000000000000000000000000	150.89285714285714
13380	Bellingham, WA	2018	65	1	7879.0	0.0	0.0	00000000000000000000000000000000000000000000000000000000000000000	121.21538461538462
13380	Bellingham, WA	2019	66	0	4437.0	0.0	0.0	000000000000000000000000000000000000000000000000000000000000000000	67.22727272727273
13380	Bellingham, WA	2020	79	16	9449.0	9063.0	0.0	0000000000000000000000000000000000000010000000000000000000000000000000000000000	119.60759493670886
13380	Bellingham, WA	2021	72	4	1446.0	36.0	1.0	2.0	20.083333333333332
13380	Bellingham, WA	2022	80	1	2443.0	100.0	0.0	1.0	30.5375
13380	Bellingham, WA	2023	65	0	150.0	0.0	0.0	0.0	2.3076923076923075
13380	Bellingham, WA	2024	183	0	1093.0	0.0	0.0	0.0	5.972677595628415
13460	Bend, OR	2017	7	0	4609.0	0.0	0.0	0000000	658.4285714285714
13460	Bend, OR	2018	26	2	7620.0	200.0	0.0	00000000000000000000000000	293.0769230769231
13460	Bend, OR	2019	13	1	6112.0	2875.0	0.0	0000000000000	470.15384615384613
13460	Bend, OR	2020	39	18	3414.0	1818.0	1.0	000000000000000000000000000000000000000	87.53846153846153
13460	Bend, OR	2021	37	1	1269.0	200.0	0.0	0.0	34.2972972972973
13460	Bend, OR	2022	51	3	923.0	58.0	0.0	0.0	18.098039215686274
13460	Bend, OR	2023	27	1	1294.0	55.0	0.0	0.0	47.925925925925924
13460	Bend, OR	2024	19	2	1132.0	0.0	0.0	0.0	59.578947368421055
13740	Billings, MT	2017	7	0	530.0	0.0	0.0	0000000	75.71428571428571
13740	Billings, MT	2018	20	3	12285.0	329.0	0.0	00000000000000000000	614.25
13740	Billings, MT	2019	11	1	655.0	0.0	0.0	00000000000	59.54545454545455
13740	Billings, MT	2020	14	8	2913.0	2366.0	0.0	00000000000000	208.07142857142858
13740	Billings, MT	2021	11	1	1256.0	30.0	0.0	0.0	114.18181818181819
13740	Billings, MT	2022	25	0	1912.0	0.0	0.0	0.0	76.48
13740	Billings, MT	2023	17	0	481.0	0.0	0.0	0.0	28.294117647058822
13740	Billings, MT	2024	13	0	333.0	0.0	0.0	0.0	25.615384615384617
13780	Binghamton, NY	2017	7	1	2802.0	200.0	0.0	0000000	400.2857142857143
13780	Binghamton, NY	2018	11	1	3672.0	200.0	0.0	00000000000	333.8181818181818
13780	Binghamton, NY	2019	14	2	885.0	49.0	3.0	00000000000000	63.214285714285715
13780	Binghamton, NY	2020	18	9	788.0	639.0	0.0	000000000000000000	43.77777777777778
13780	Binghamton, NY	2021	14	6	887.0	162.0	0.0	0.0	63.357142857142854
